,title,subtitle,link
16,FRESH APPLE,Shock Apple launch reveals new iPads and 4K Apple TV just in time for Christmas,https://www.thesun.co.uk/tech/20147854/apple-new-ipad-pro-apple-tv-4k-2022/
17,SUCK IT UP,Dyson reveals its first vacuum cleaner that can suck up and contain viruses,https://www.thesun.co.uk/tech/20083395/dyson-new-vacuum-cleaner-sucks-up-viruses/
18,ANOTHER BITE OF THE APPLE,AI brings Steve Jobs 'back to life' in fake Joe Rogan interview,https://www.thesun.co.uk/tech/20081181/ai-interview-steve-jobs-joe-rogan-fake/
19,I-TIME,Apple alert issued to millions of iPhone owners over four huge changes next week,https://www.thesun.co.uk/tech/20155367/iphone-ios-16-1-release-date-update-features/
20,CAUGHT IN THE NET,Netflix to charge 'extra monthly fee' for sharing logins from early 2023,https://www.thesun.co.uk/tech/20155365/netflix-account-sharing-fees-logins/
21,LISTEN UP,Millions of WhatsApp users who send or receive voice notes issued major alert,https://www.thesun.co.uk/tech/20143724/whatsapp-voice-notes-playback-speed-windows/
22,THE SLOW LANE,Facebook to ban millions from 7-year-old feature with no way to get it back,https://www.thesun.co.uk/tech/20128041/facebook-stop-instant-articles-feature/
23,ALL CHANGE,Huge WhatsApp leak reveals five major changes that will affect every user,https://www.thesun.co.uk/tech/20059728/whatsapp-update-changes-new-features-2022/
24,SUPER SNOOPER,Android users warned of alert in corner over screen – someone may be watching,https://www.thesun.co.uk/tech/20143727/android-corner-alert-microphone-camera-spying/
25,MYSTERY MESSAGE,Android message warns users they're about to get scammed – do NOT ignore it,https://www.thesun.co.uk/tech/20106082/android-warning-billions-users-message-cost-2/
26,I-WORRY!,Facebook issues major text warning to iPhone owners as Mark Zuckerberg slams Apple,https://www.thesun.co.uk/tech/20146227/facebook-warning-iphone-imessage-whatsapp-mark-zuckerberg/
27,FACE OFF,Millions of Facebook users should check settings now – you may be in danger,https://www.thesun.co.uk/tech/20092423/facebook-settings-hacked-active-app-sessions/
28,APPLE STUMBLE,Millions told their iPhones are dangerous – don't ignore latest warning,https://www.thesun.co.uk/tech/20081629/iphone-models-dangerous-hackers-ios-udpate/
29,GIRL POWER,‘I’m a little bit of a cheat code’ – Sam Kerr and others open up about FIFA 23,https://www.thesun.co.uk/tech/20168932/fifa-23-sam-kerr-interview/
30,THE BATMAN,Neymar knocks Premier League from the top of FIFA 23’s Team of the Week,https://www.thesun.co.uk/tech/20169164/neymar-fifa-23-team-of-the-week/
31,SPEAKING SIMLISH,The Sims 5 is coming with more realistic customisation than ever before,https://www.thesun.co.uk/tech/20156141/sims-5-announced-customisation/
32,DUALNONSENSE,PS5’s new controller is the price of a bundled Xbox Series S,https://www.thesun.co.uk/tech/20149505/playstation-dualsense-edge-controller-release-date-price/
33,MUSK BE JOKING,Inside the weird world of Elon Musk who believes we're living in video game,https://www.thesun.co.uk/tech/20119913/inside-elon-musk-brain-claims-alien/
34,AWAY DAY,Moon is 'drifting away from Earth' – and it's going to change the length of a day,https://www.thesun.co.uk/tech/20149209/moon-drifting-from-earth-length-of-day-changing/
35,SPACE BLOBS,Blue blobs hover over Earth in Nasa photos but there's a scientific explanation,https://www.thesun.co.uk/tech/20142691/blue-blobs-hover-over-earth-nasa-aliens/
36,SKY LIGHTS,Halley's Comet sends stunning 'shower of fireballs' overhead tonight,https://www.thesun.co.uk/tech/20136210/halleys-comet-orionid-meteor-shower/
37,WEBULA,"Mystery over 'space spiderweb' 5,000 light-years from Earth finally solved",https://www.thesun.co.uk/tech/20104929/james-webb-wr140-ripple-dust/
38,MARS-POCALYPSE,"Early Martians may have wiped themselves out, shock study reveals",https://www.thesun.co.uk/tech/20083387/early-martians-wiped-out-life-ending-mars-event/
39,YOU MUSK SLOW DOWN,"Musk's huge satellite plans could bring down planes, astronomers warn",https://www.thesun.co.uk/tech/20106947/elon-musk-spacex-starlink-plane-crash-warning/
40,MUSK-HAVE ITEMS,How Elon Musk spends his $200bn fortune - from tiny $45k home to Bond car,https://www.thesun.co.uk/tech/20083233/elon-musk-200bn-fortune-tiny-home-luxury/
41,SPEED MACHINE,Inside FLASH FALCON double-decker jet that could fly from NYC to Oz in 4 HRS,https://www.thesun.co.uk/tech/20009913/inside-flash-falcon-supersonic-new-york/
42,ZUCKER-VISION,I tried Zuckerberg's new VR face-tracking headset – it left me shocked,https://www.thesun.co.uk/tech/20074553/meta-quest-pro-hands-on-review/
43,PLUS SIZED,iPhone 14 Plus review: I waited weeks to try 'bigger' – is it actually better?,https://www.thesun.co.uk/tech/20019201/iphone-14-plus-review/
